Name,Avaliable_Online_order,Avaliable_Book_table,Rate out of 5,Votes of popularity,Phone,Location,Rest_type,Approx_cost(for two people),Approx_cost(for one people)
Jalsa,True,True,4.1,775,"08042297555,+919743772233",Banashankari,Casual Dining,800,400.0
Spice Elephant,True,False,4.1,787,08041714161,Banashankari,Casual Dining,800,400.0
San Churro Cafe,True,False,3.8,918,+919663487993,Banashankari,"Cafe, Casual Dining",800,400.0
Addhuri Udupi Bhojana,False,False,3.7,88,+919620009302,Banashankari,Quick Bites,300,150.0
Grand Village,False,False,3.8,166,"+918026612447,+919901210005",Basavanagudi,Casual Dining,600,300.0
Timepass Dinner,True,False,3.8,286,"+919980040002,+919980063005",Basavanagudi,Casual Dining,600,300.0
Rosewood International Hotel - Bar & Restaurant,False,False,3.6,8,"+919731716688,08026740366",Mysore Road,Casual Dining,800,400.0
Onesta,True,True,4.6,2556,"08048653961,08048655715",Banashankari,"Casual Dining, Cafe",600,300.0
Penthouse Cafe,True,False,4.0,324,"+918884135549,+919449449316",Banashankari,Cafe,700,350.0
Smacznego,True,False,4.2,504,"+919945230807,+919743804471",Banashankari,Cafe,550,275.0
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,True,False,4.1,402,"08026724489,+917406048982",Banashankari,Cafe,500,250.0
Cafe Shuffle,True,True,4.2,150,+919742166777,Banashankari,Cafe,600,300.0
The Coffee Shack,True,True,4.2,164,+919731644212,Banashankari,Cafe,500,250.0
Caf-Eleven,False,False,4.0,424,08049577715,Banashankari,Cafe,450,225.0
Cafe Vivacity,True,False,3.8,90,"08026768182,+919845704455",Banashankari,Cafe,650,325.0
Catch-up-ino,True,False,3.9,133,"+919972988038,+919900121238",Banashankari,Cafe,800,400.0
Kirthi's Biryani,True,False,3.8,144,"08026711554,+919741406338",Banashankari,Cafe,700,350.0
T3H Cafe,False,False,3.9,93,+918884726600,Banashankari,Cafe,300,150.0
360 Atoms Restaurant And Cafe,True,False,3.1,13,+919880594520,Banashankari,Cafe,400,200.0
The Vintage Cafe,True,False,3.0,62,"+919880016665,+918217311687",Banashankari,Cafe,400,200.0
Woodee Pizza,True,False,3.7,180,+917406822844,Banashankari,Cafe,500,250.0
Cafe Coffee Day,False,False,3.6,28,08032486296,Banashankari,Cafe,900,450.0
My Tea House,True,False,3.6,62,"08065975430,+917337733798",Banashankari,"Quick Bites, Cafe",600,300.0
Hide Out Cafe,False,False,3.7,31,+919901481185,Banashankari,Cafe,300,150.0
CAFE NOVA,False,False,3.2,11,+918971090261,Banashankari,Cafe,600,300.0
Coffee Tindi,True,False,3.8,75,+919945758046,Banashankari,"Cafe, Quick Bites",200,100.0
Sea Green Cafe,False,False,3.3,4,+919008628448,Banashankari,Cafe,500,250.0
Cuppa,False,False,3.3,23,+919591111123,Banashankari,Cafe,550,275.0
Srinathji's Cafe,False,False,3.8,148,"08026600704,+919342593424",Basavanagudi,"Casual Dining, Cafe",550,275.0
Redberrys,True,False,4.0,219,+919148421256,Basavanagudi,Cafe,600,300.0
Foodiction,True,False,2.8,506,+919916107070,Banashankari,Quick Bites,500,250.0
Sweet Truth,True,False,3.9,35,+917710055553,Banashankari,Delivery,500,250.0
Ovenstory Pizza,True,False,3.9,172,+917738383000,Banashankari,Delivery,750,375.0
Faasos,True,False,4.2,415,+917700020020,Banashankari,Quick Bites,500,250.0
Behrouz Biryani,True,False,3.9,230,"+917022260661,+917022260662",Banashankari,Delivery,650,325.0
Fast And Fresh,True,False,2.8,91,+919742974232,Banashankari,Quick Bites,400,200.0
Szechuan Dragon,True,False,4.2,1647,"00919663567711,+919916326323",Banashankari,Casual Dining,600,300.0
Empire Restaurant,True,False,4.4,4884,08049653266,Jayanagar,Casual Dining,750,375.0
Maruthi Davangere Benne Dosa,True,False,4.0,17,+919019563485,Banashankari,Quick Bites,150,75.0
Chaatimes,True,False,3.8,133,+918884232233,Basavanagudi,Quick Bites,200,100.0
Havyaka Mess,False,False,3.9,28,"+919243195843,+919243404670",Banashankari,Mess,300,150.0
McDonald's,True,False,3.9,286,"08066000666,08042005285",Banashankari,Quick Bites,500,250.0
Domino's Pizza,True,False,3.9,540,"08026710070,18602100000",Banashankari,Quick Bites,800,400.0
Hotboxit,False,False,3.8,36,"+917026677677,+917026577577",Banashankari,Delivery,400,200.0
Kitchen Garden,True,False,3.6,244,08049652867,Kumaraswamy Layout,Quick Bites,300,150.0
Recipe,True,False,4.0,804,"+918043755256,+919886073774",Kumaraswamy Layout,Casual Dining,450,225.0
Beijing Bites,True,False,3.7,679,"08028606888,08028606886",Rajarajeshwari Nagar,Casual Dining,850,425.0
Tasty Bytes,True,False,3.1,245,"+918553317408,+917899687127",Kumaraswamy Layout,Quick Bites,300,150.0
Petoo,False,False,3.7,21,+918026893211,Banashankari,Quick Bites,450,225.0
Shree Cool Point,True,False,4.1,28,+919900617124,Vijay Nagar,Quick Bites,150,75.0
Corner House Ice Cream,False,False,4.3,345,"08026713965,+919845444155",Banashankari,Dessert Parlor,400,200.0
Biryanis And More,True,False,4.0,618,"08048542442,+917337271771",Jayanagar,Casual Dining,750,375.0
Roving Feast,False,False,4.0,1047,"08042024092,08042274242",Banashankari,Quick Bites,450,225.0
FreshMenu,True,False,3.9,627,08040424242,Banashankari,Delivery,450,225.0
Banashankari Donne Biriyani,True,False,3.8,104,+919845632456,Banashankari,Quick Bites,300,150.0
Wamama,True,True,4.2,354,"+918042111599,+918971818009",Banashankari,Casual Dining,800,400.0
Five Star Chicken,False,False,3.6,55,08041716035,Banashankari,Quick Bites,200,100.0
XO Belgian Waffle,True,False,3.7,17,+919920950331,Banashankari,Dessert Parlor,400,200.0
Peppy Peppers,False,False,4.2,244,"+918042297555,+917022455300",Banashankari,Casual Dining,800,400.0
Goa 0 Km,True,True,3.6,163,08049653548,Kumaraswamy Layout,Casual Dining,800,400.0
Chinese Kitchen,True,False,3.8,58,"+919845914270,+918884889088",Basavanagudi,Quick Bites,150,75.0
1947,False,True,4.0,808,"08026791213,+919739989446",Banashankari,Casual Dining,850,425.0
Cake of the Day,False,False,3.7,78,08022977725,Banashankari,"Bakery, Dessert Parlor",150,75.0
Kabab Magic,True,False,4.1,1720,08026570381,Basavanagudi,Quick Bites,400,200.0
Namma Brahmin's Idli,True,False,3.6,34,+918310555879,Jayanagar,Quick Bites,100,50.0
Gustoes Beer House,False,False,4.1,868,08049653521,Banashankari,Pub,1200,600.0
Sugar Rush,False,False,3.8,39,+919916366551,Banashankari,Bakery,300,150.0
Burger King,True,False,3.2,71,0918147302939,Basavanagudi,Quick Bites,600,300.0
The Good Bowl,True,False,3.6,6,+918042172269,Banashankari,"Takeaway, Delivery",500,250.0
The Biryani Cafe,False,False,4.1,520,+917010846043,Banashankari,Quick Bites,300,150.0
LSD Cafe,False,False,2.9,84,08065600000,Banashankari,Delivery,700,350.0
Rolls On Wheels,False,False,3.6,299,"+919071734101,+919071496800",Banashankari,Quick Bites,300,150.0
Sri Guru Kottureshwara Davangere Benne Dosa,True,False,4.1,558,"+919448305384,+919060079480",Basavanagudi,Quick Bites,150,75.0
Devanna Dum Biriyani Centre,True,False,3.6,28,"+919980204944,08026723722",Banashankari,Quick Bites,300,150.0
Kolbeh,False,False,3.7,22,"+918050701820,+918904733516",Banashankari,Quick Bites,500,250.0
Upahar Sagar,False,False,3.8,39,"+919164571705,08026760336",Banashankari,Quick Bites,350,175.0
Kadalu Sea Food Restaurant,True,False,3.8,153,"+917337681786,+917337682786",Vijay Nagar,Fine Dining,500,250.0
Frozen Bottle,True,False,4.2,146,08048664811,Banashankari,Beverage Shop,400,200.0
Parimala Sweets,False,False,3.5,14,"+919738013203,08049524132",Banashankari,Sweet Shop,200,100.0
Vaishali Deluxe,False,False,3.8,42,"+919886092321,+918861776666",Banashankari,Casual Dining,700,350.0
The Big O Bakes,False,False,4.0,66,+919845216137,Banashankari,Bakery,300,150.0
Meghana Foods,True,False,4.4,4401,08049653564,Jayanagar,Casual Dining,600,300.0
Krishna Sagar,False,False,3.5,31,"+918892752997,+917204780429",Banashankari,Quick Bites,200,100.0
Dessert Rose,False,False,3.5,7,+917829604777,Banashankari,Dessert Parlor,500,250.0
Chickpet Donne Biryani House,False,False,3.7,21,"+919482020323,08068888834",Banashankari,Quick Bites,250,125.0
Thanco's Natural Ice Creams,False,False,3.2,9,"08041477334,+919900260006",Banashankari,Dessert Parlor,300,150.0
Nandhini Deluxe,False,False,2.6,283,"08026890011,08026890033",Banashankari,Casual Dining,600,300.0
Vi Ra's Bar and Restaurant,False,False,3.3,62,"+919845063930,+917411148111",Banashankari,Bar,800,400.0
Kaggis,False,False,3.8,64,"+919900191258,08026509710",Banashankari,Quick Bites,250,125.0
Ayda Persian Kitchen,False,False,3.7,39,08042124293,Banashankari,Casual Dining,950,475.0
Chatar Patar,False,False,3.7,65,+917619353103,Banashankari,Quick Bites,300,150.0
Polar Bear,True,False,3.8,71,08049652725,Basavanagudi,Dessert Parlor,400,200.0
Kidambi's Kitchen,False,False,3.5,52,"08042112211,+919880412211",Banashankari,Quick Bites,300,150.0
Mane Thindi,False,False,3.7,130,+919964410276,Banashankari,Quick Bites,200,100.0
Kotian Karavali Restaurant,False,False,3.5,10,+917829336984,Banashankari,Quick Bites,300,150.0
Floured-Baked With Love,False,False,3.8,45,"+919845552266,+919845552288",Banashankari,"Takeaway, Delivery",400,200.0
Cakes & Slices,False,False,3.5,13,"+919845174427,08025908416",Banashankari,Bakery,300,150.0
Spice 9,False,False,3.4,8,+918298113218,Banashankari,Quick Bites,300,150.0
Naveen Kabab & Biriyani Mane,False,False,3.2,9,"+919611109111,+919880421603",Banashankari,Quick Bites,300,150.0
Katriguppe Donne Biryani,False,False,3.2,4,+919964847091,Banashankari,Quick Bites,300,150.0
Atithi Point Ande Ka Funda,False,False,3.1,29,+918123145797,Banashankari,Quick Bites,150,75.0
Just Bake,False,False,3.4,8,"+919535674477,08026420777",Banashankari,Bakery,400,200.0
K27 - The Pub,False,False,3.1,30,+919980097472,Banashankari,Bar,1000,500.0
Bengaluru Coffee House,True,False,4.1,201,+919740180090,Banashankari,Quick Bites,300,150.0
Coffee Bytes,False,False,3.1,6,+919945756375,Banashankari,Quick Bites,100,50.0
Parjanya Chat Zone,False,False,3.3,17,+919513333364,Banashankari,Quick Bites,200,100.0
Kwality Wall's Swirl's Happiness Station,False,False,2.9,25,+919742787111,Banashankari,Dessert Parlor,200,100.0
Ruchi Maayaka,False,False,3.3,8,+919206517566,Banashankari,Delivery,100,50.0
Anna Kuteera,True,False,4.0,771,+919620009302,Banashankari,Casual Dining,450,225.0
Darbar,False,False,3.0,98,+918861271465,Banashankari,Bar,800,400.0
Vijayalakshmi,True,False,3.9,47,08049653547,Basavanagudi,Quick Bites,200,100.0
Sri Udupi Food Hub,True,True,4.1,175,+919916866033,Jayanagar,Casual Dining,500,250.0
Udupi Upahar,True,False,3.8,58,08045128750,Banashankari,Quick Bites,300,150.0
House Of Kebabs,True,False,3.8,540,08049653042,Basavanagudi,Casual Dining,650,325.0
Roll N Rock,True,False,3.8,124,+919590941992,Kumaraswamy Layout,Quick Bites,400,200.0
BOX8- Desi Meals,True,False,4.1,340,02233552698,Banashankari,"Takeaway, Delivery",500,250.0
KFC,True,False,3.8,505,08033994444,Banashankari,Quick Bites,450,225.0
Roll Over,True,False,4.1,438,"+918884942976,+918884942900",Jayanagar,Dessert Parlor,500,250.0
Imperial Restaurant,True,False,3.7,264,"+917338431313,08026741313",Mysore Road,Casual Dining,750,375.0
Lassi Shop,True,False,3.9,169,+917975669805,Kumaraswamy Layout,Beverage Shop,150,75.0
The Fortuna,True,False,3.0,67,"+917829217247,08025985676",Kumaraswamy Layout,Quick Bites,250,125.0
Wahab,True,False,3.7,97,+919845088001,Jayanagar,Quick Bites,350,175.0
Al Diwan Biryanis And More,True,False,3.3,12,08045128807,Basavanagudi,"Takeaway, Delivery",300,150.0
New Gowda's Fried Chicken,True,False,3.3,12,+919066998880,Banashankari,Quick Bites,300,150.0
Canton,True,False,3.6,195,"08041410069,+919611320069",Jayanagar,Casual Dining,800,400.0
Diabetics Dezire Sugarless Sweets and Bakes,True,False,3.3,13,"+919035515333,08041692690",Basavanagudi,"Dessert Parlor, Sweet Shop",300,150.0
The Blue Wagon - Kitchen,True,False,4.6,228,"+918105485007,+918095904280",Jayanagar,Cafe,400,200.0
HOT COFFEE,True,False,4.1,70,+919972187023,Basavanagudi,Quick Bites,150,75.0
Patio 805,True,True,4.1,364,+918884999805,Jayanagar,Casual Dining,1200,600.0
Lassi Corner,True,False,3.7,107,"+919972348689,+917204756477",Basavanagudi,Beverage Shop,150,75.0
Sagar Deluxe,True,False,3.2,167,"08032963232,+919620284767",Kumaraswamy Layout,Quick Bites,300,150.0
Kanti Sweets,True,False,4.0,115,"08022960617,08041726564",Banashankari,Sweet Shop,400,200.0
Vegetalia,True,False,3.7,27,+919972720474,Banashankari,"Takeaway, Delivery",400,200.0
Aramane Donne Biryani,True,False,3.5,57,+916360738836,Banashankari,Quick Bites,200,100.0
Ande Ka Funda,True,False,3.8,120,+919019507382,Banashankari,Quick Bites,250,125.0
Cake Ghar,True,False,3.8,15,+919902773562,Basavanagudi,Bakery,400,200.0
Energy Addaa,True,False,4.2,64,08049652857,Basavanagudi,Quick Bites,500,250.0
Bhattara Bhojana,True,False,3.6,66,"+919008333858,+917019192360",Banashankari,Quick Bites,150,75.0
Tandoori Knight,True,False,3.0,290,"+919035297404,+919731504721",Banashankari,Quick Bites,450,225.0
Dev Sagar - Food Street,True,False,4.1,233,"+919886204745,016126624745",Basavanagudi,Quick Bites,200,100.0
Mitraa Da Pizza,True,False,3.8,115,"+917977809237,+917752956789",Kumaraswamy Layout,Quick Bites,250,125.0
Paradise Premium,True,False,3.1,119,+919535474849,Banashankari,Casual Dining,700,350.0
Grazers,True,True,3.9,291,08026650668,Jayanagar,Cafe,650,325.0
Shakes Theory,True,False,4.5,155,"+919886936896,+919620000463",Jayanagar,Beverage Shop,300,150.0
